name,category,address,open_website,phone_number,description,open_hours,open_hours_updated,reviews_count,rating,main_image,reviews,url,lat,lon,place_id,country,price_range,services_provided,hotel_amenities,hotel_star_ratings,category_search_input
"David N. Sloan, Esq.","Law firm","600 Old Country Rd Suite 450, Garden City, NY 11530","nyfirm.net","+15163332300","","""{\""Friday\"":\""9AM to 5PM\"",\""Monday\"":\""9AM to 5PM\"",\""Saturday\"":\""Closed\"",\""Sunday\"":\""Closed\"",\""Thursday\"":\""9AM to 5PM\"",\""Tuesday\"":\""9AM to 5PM\"",\""Wednesday\"":\""9AM to 5PM\""}""","",1,5,"https://lh5.googleusercontent.com/p/AF1QipO4pPN8uCBsevMXrREj6jOkfxZwmUUNTs6lfURV=w408-h306-k-no","[{""date"":null,""id"":""ChdDSUhNMG9nS0VJQ0FnSUNnczVHVzN3RRAB"",""name"":""Melissa Collins"",""text"":null}]","https://www.google.com/maps/place/David+N.+Sloan,+Esq./@40.7424922,-73.6155827,17z/data=!3m1!4b1!4m6!3m5!1s0x89c287879cdcd229:0x415f1990d8d78662!8m2!3d40.7424922!4d-73.6155827!16s%2Fg%2F11gbk1v00h?hl=en",40.7424922,-73.6155827,"ChIJKdLcnIeHwokRYobX2JAZX0E","US","","null","null","",""
"Atoka County Medical Center","Hospital","1590 W Liberty Rd, Atoka, OK 74525","atokamedicalcenter.org","+15808893333","","""{\""Friday\"":\""Open 24 hours\"",\""Monday (Memorial Day)\"":\""Open 24 hours\"",\""Saturday\"":\""Open 24 hours\"",\""Sunday\"":\""Open 24 hours\"",\""Thursday\"":\""Open 24 hours\"",\""Tuesday\"":\""Open 24 hours\"",\""Wednesday\"":\""Open 24 hours\""}""","",1,1,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PitVKwVnnhZ5leDA85kI3A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=182.55016&pitch=0&thumbfov=100","[{""date"":null,""id"":""ChZDSUhNMG9nS0VJQ0FnSUR5M3ZMZFZnEAE"",""name"":""Regina Hise"",""text"":null}]","https://www.google.com/maps/place/Atoka+County+Medical+Center/@34.3933742,-96.1544251,17z/data=!3m1!4b1!4m6!3m5!1s0x87b4b3134aea0745:0x6cda70c6e4bdb0ef!8m2!3d34.3933742!4d-96.1544251!16s%2Fg%2F11fqsgzkch?hl=en",34.3933742,-96.1544251,"ChIJRQfqShOztIcR77C95MZw2mw","US","","null","null","",""
"Hampton Hyundai - North Hampton","Auto body parts supplier","177 Lafayette Rd, North Hampton, NH 03862","https://www.hyundaiguy.com/?utm_source=GMB_listing&utm_medium=organic","(603) 964-8771","","{""Friday"":""8:30 AM–6 PM"",""Monday"":""8:30 AM–7 PM"",""Saturday"":""8:30 AM–5 PM"",""Sunday"":""Closed"",""Thursday"":""8:30 AM–7 PM"",""Tuesday"":""8:30 AM–7 PM"",""Wednesday"":""8:30 AM–7 PM""}","Open ⋅ Closes 7 PM",257,4.6,"https://lh5.googleusercontent.com/p/AF1QipN_Lg9fUhvSPss7iK8cH3738X-xEeSXcVlQ2pmz=w122-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJG5LU9_jp4okRCmixnNn-0Eo&q=Service+establishment,+03862,+United+States&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Hampton%20Hyundai%20-%20North%20Hampton/data=!4m7!3m6!1s0x89e2e9f8f7d4921b:0x4ad0fed99cb1680a!8m2!3d42.9909818!4d-70.817332!16s/g/1jmck_ydm!19sChIJG5LU9_jp4okRCmixnNn-0Eo?authuser=0&hl=en&rclk=1",42.9909818,-70.817332,"ChIJG5LU9_jp4okRCmixnNn-0Eo","US","","null","null","",""
"One Drop Studio for Hair","Hair salon","61419 S Hwy 97 Suite P, Bend, OR 97702","http://onedropstudioforhair.com/","(541) 213-7991","","{""Friday"":""9 AM–6 PM"",""Monday"":""9 AM–6 PM"",""Saturday"":""10 AM–3 PM"",""Sunday"":""Closed"",""Thursday"":""9 AM–6 PM"",""Tuesday"":""9 AM–6 PM"",""Wednesday"":""9 AM–6 PM""}","Closed ⋅ Opens 9 AM",18,5,"https://lh5.googleusercontent.com/p/AF1QipOg-f-0IOk0YvR5nK9dNmmqF1np-WldIhPbiRza=w122-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJ302TsC7GuFQRtqR0w1Qul0o&q=Beauty+Salon,+97702,+United+States&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/One%20Drop%20Studio%20for%20Hair/data=!4m7!3m6!1s0x54b8c62eb0934ddf:0x4a972e54c374a4b6!8m2!3d44.031110899999995!4d-121.310879!16s/g/11c1s30qjg!19sChIJ302TsC7GuFQRtqR0w1Qul0o?authuser=0&hl=en&rclk=1",44.0311109,-121.310879,"ChIJ302TsC7GuFQRtqR0w1Qul0o","US","","null","null","",""
"TR Disposal Service, LLC.","Waste management service","W2313 Hillside Dr, Pulaski, WI 54162","https://www.trdisposal.com/","(920) 660-6804","","{""Friday"":""6 AM–6 PM"",""Monday"":""6 AM–6 PM"",""Saturday"":""7 AM–12 PM"",""Sunday"":""6 AM–6 PM"",""Thursday"":""6 AM–6 PM"",""Tuesday"":""6 AM–6 PM"",""Wednesday"":""6 AM–6 PM""}","Closed ⋅ Opens 6 AM Sun",11,5,"https://lh5.googleusercontent.com/p/AF1QipO68UteAzeMRYxKk3Eo61HTo7fQLlTfL0fqzsgP=w204-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJldlsNSDMA4gRapCZ7G9_-ss&q=Garbage+collection+service,+54162,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/TR%20Disposal%20Service,%20LLC./data=!4m7!3m6!1s0x8803cc20356cd995:0xcbfa7f6fec99906a!8m2!3d44.6806783!4d-88.3549365!16s/g/1v42gcn2!19sChIJldlsNSDMA4gRapCZ7G9_-ss?authuser=0&hl=en&rclk=1",44.6806783,-88.3549365,"ChIJldlsNSDMA4gRapCZ7G9_-ss","US","","null","null","",""
"Raleigh Smoothie Bar","Health food store","6500 Falls of Neuse Rd #100s, Raleigh, NC 27615","http://www.raleighsmoothiebar.com/","(919) 872-1862","","{""Friday"":""10 AM–8 PM"",""Monday"":""10 AM–8 PM"",""Saturday"":""10 AM–8 PM"",""Sunday"":""1–6 PM"",""Thursday"":""10 AM–8 PM"",""Tuesday"":""10 AM–8 PM"",""Wednesday"":""10 AM–8 PM""}","Closed ⋅ Opens 1 PM",2,4,"https://lh5.googleusercontent.com/p/AF1QipPC4gofib8CZ4sfNEoX7RD3nQIWvgPaUTrveB6p=w163-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJx_pZvqFZrIkRvj16yym63zI&q=Juice+shop,+27615,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Raleigh%20Smoothie%20Bar/data=!4m7!3m6!1s0x89ac59a1be59fac7:0x32dfba29cb7a3dbe!8m2!3d35.870920999999996!4d-78.621099!16s/g/11gslr73yr!19sChIJx_pZvqFZrIkRvj16yym63zI?authuser=0&hl=en&rclk=1",35.870921,-78.621099,"ChIJx_pZvqFZrIkRvj16yym63zI","US","","null","null","",""
"Lx Fit Studio","Personal trainer","2383 NY-32, New Windsor, NY 12553","","(845) 583-1060","","{""Friday"":""8 AM–6 PM"",""Monday"":""8 AM–6 PM"",""Saturday"":""10 AM–2 PM"",""Sunday"":""10 AM–2 PM"",""Thursday"":""8 AM–12 AM"",""Tuesday"":""8 AM–12 AM"",""Wednesday"":""8 AM–6 PM""}","Temporarily closed",7,5,"https://lh5.googleusercontent.com/p/AF1QipObKIZXCoG6WDumC6QWxhiWMlJ8XeWUdjuhn1s7=w122-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJt9Mt9fgt3YkR8DrM2MAUYuI&q=Gym,+10941,+United+States&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Lx%20Fit%20Studio/data=!4m7!3m6!1s0x89dd2df8f52dd3b7:0xe26214c0d8cc3af0!8m2!3d41.4459468!4d-74.05678569999999!16s/g/11j8ww8xgj!19sChIJt9Mt9fgt3YkR8DrM2MAUYuI?authuser=0&hl=en&rclk=1",41.4459468,-74.0567857,"ChIJt9Mt9fgt3YkR8DrM2MAUYuI","US","","null","null","",""
"Cape Coastal Landscaping","Landscape designer","270 Queen Anne Rd, Harwich, MA 02645","https://www.harwichlandscaper.com/","(888) 874-6576","","{""Friday"":""7 AM–5 PM"",""Monday"":""7 AM–5 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""7 AM–5 PM"",""Tuesday"":""7 AM–5 PM"",""Wednesday"":""7 AM–5 PM""}","Open ⋅ Closes 5 PM",13,4.6,"https://lh5.googleusercontent.com/p/AF1QipPclm5VD7wuX44lTI70dRg8naisM_l9TtGQzwFQ=w122-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJ6aZLjQI_-4kRXcBlW7ixtKk&q=Landscaper,+02668,+United+States&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Cape%20Coastal%20Landscaping/data=!4m7!3m6!1s0x89fb3f028d4ba6e9:0xa9b4b1b85b65c05d!8m2!3d41.699492899999996!4d-70.0907622!16s/g/1hc1d9d2p!19sChIJ6aZLjQI_-4kRXcBlW7ixtKk?authuser=0&hl=en&rclk=1",41.6994929,-70.0907622,"ChIJ6aZLjQI_-4kRXcBlW7ixtKk","US","","null","null","",""
"Airgas Store","Gas cylinders supplier","2140 Mint Rd, Lansing, MI 48906","https://locations.airgas.com/mi/lansing/airgas-store-n051.html?utm_arg=3rd_party_local:Google::Industrial:N051","(517) 321-8035","Warehouse selling welding & related safety equipment to hobbyists & professionals.","{""Friday"":""8 AM–4:30 PM"",""Monday"":""8 AM–4:30 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""8 AM–4:30 PM"",""Tuesday"":""8 AM–4:30 PM"",""Wednesday"":""8 AM–4:30 PM""}","Closed ⋅ Opens 8 AM",23,4.3,"https://lh5.googleusercontent.com/p/AF1QipO05Sv1jaD6YdzzhFvwSMoUGlcUmEAQhLDaNaqD=w80-h106-k-no","https://search.google.com/local/reviews?placeid=ChIJx6h7ZebqIogRfKzxrbgWMBo&q=Industrial+equipment+supplier,+48917,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Airgas%20Store/data=!4m7!3m6!1s0x8822eae6657ba8c7:0x1a3016b8adf1ac7c!8m2!3d42.7666496!4d-84.58076249999999!16s/g/1tnmsbh3!19sChIJx6h7ZebqIogRfKzxrbgWMBo?authuser=0&hl=en&rclk=1",42.7666496,-84.5807625,"ChIJx6h7ZebqIogRfKzxrbgWMBo","US","","null","null","",""
"Bairstow Eves Estate Agent Sudbury","Mortgage broker","31 King St, Sudbury CO10 2EQ","http://www.bairstoweves.co.uk/forsaleoffice/sudbury/542/?referrer=GooglePlaces&utm_source=gmb&y_source=1_MzI1NzM1Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","01787 860072","","{""Friday"":""9 am–6 pm"",""Monday"":""9 am–6 pm"",""Saturday"":""9 am–4 pm"",""Sunday"":""Closed"",""Thursday"":""9 am–6 pm"",""Tuesday"":""9 am–6 pm"",""Wednesday"":""9 am–6 pm""}","Closed ⋅ Opens 9 am Mon",48,4.7,"https://lh5.googleusercontent.com/p/AF1QipM3XRyhvsnBlkPYxJ0-uepqNR1XH4dmCPleAr4G=w163-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJ4aASXnNV2EcRg_KPw7XPQX0&q=Real+estate+agency,+CB8,+UK&authuser=0&hl=en&gl=GB","https://www.google.com/maps/place/Bairstow%20Eves%20Estate%20Agent%20Sudbury/data=!4m7!3m6!1s0x47d855735e12a0e1:0x7d41cfb5c38ff283!8m2!3d52.038335599999996!4d0.7323316!16s/g/1vc_pm24!19sChIJ4aASXnNV2EcRg_KPw7XPQX0?authuser=0&hl=en&rclk=1",52.0383356,0.7323316,"ChIJ4aASXnNV2EcRg_KPw7XPQX0","GB","","null","null","",""
"Georgetown Square Apartments","Apartment building","214 Royal Dr, Georgetown, TX 78626","https://www.monroegroup.com/property/georgetown-square-apartments/","(512) 863-3782","","null","",12,2.6,"https://lh5.googleusercontent.com/p/AF1QipNsS8rdXj2Y0mUrC7sBFb8A3X3cGB8fY81JOtFA=w163-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJJ5gt9zzWRIYRes0z5rBES8Q&q=Housing+complex,+78626,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Georgetown%20Square%20Apartments/data=!4m7!3m6!1s0x8644d63cf72d9827:0xc44b44b0e633cd7a!8m2!3d30.6555143!4d-97.67299729999999!16s/g/1tkb5hjn!19sChIJJ5gt9zzWRIYRes0z5rBES8Q?authuser=0&hl=en&rclk=1",30.6555143,-97.6729973,"ChIJJ5gt9zzWRIYRes0z5rBES8Q","US","","null","null","",""
"Noah Harris Adler Architect","Architecture firm","233 Whitman St, Haworth, NJ 07641","http://www.nha-arch.com/","(201) 494-4224","","{""Friday"":""8 AM–1 PM"",""Monday"":""8 AM–5 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""8 AM–5 PM"",""Tuesday"":""8 AM–5 PM"",""Wednesday"":""8 AM–5 PM""}","Open ⋅ Closes 5 PM",3,5,"https://lh5.googleusercontent.com/p/AF1QipOkBmNNa6Mb7ZS2TrgUsadeAPEAkRLnG6tckP_R=w122-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJj7C89i_vwokRWjA7a6ryBks&q=Architect,+07627,+United+States&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Noah%20Harris%20Adler%20Architect/data=!4m7!3m6!1s0x89c2ef2ff6bcb08f:0x4b06f2aa6b3b305a!8m2!3d40.9620447!4d-73.9789266!16s/g/11q1vvt35t!19sChIJj7C89i_vwokRWjA7a6ryBks?authuser=0&hl=en&rclk=1",40.9620447,-73.9789266,"ChIJj7C89i_vwokRWjA7a6ryBks","US","","null","null","",""
"Citizens","Bank","631 Mt Auburn St, Watertown, MA 02472","https://locations.citizensbank.com/ma/watertown/631-mount-auburn-st.html","(617) 551-6275","","{""Friday"":""9 AM–4 PM"",""Monday"":""9 AM–4 PM"",""Saturday"":""9 AM–12 PM"",""Sunday"":""Closed"",""Thursday"":""9 AM–4 PM"",""Tuesday"":""9 AM–4 PM"",""Wednesday"":""9 AM–4 PM""}","Open ⋅ Closes 4 PM",8,4.3,"https://lh5.googleusercontent.com/p/AF1QipMEwrXANMJ4zr0U7kryScuGUDq6s9870l_Kpwp7=w80-h106-k-no","https://search.google.com/local/reviews?placeid=ChIJ2_KkY4h344kREOyS4tZNGhQ&q=ATM,+02472,+United+States&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Citizens/data=!4m7!3m6!1s0x89e3778863a4f2db:0x141a4dd6e292ec10!8m2!3d42.371278!4d-71.15748769999999!16s/g/1tjt2y_3!19sChIJ2_KkY4h344kREOyS4tZNGhQ?authuser=0&hl=en&rclk=1",42.371278,-71.1574877,"ChIJ2_KkY4h344kREOyS4tZNGhQ","US","","null","null","",""
